,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,2AaaE0qvFWtyT8srKNfRhH,Komang,5LcNPa8f8bRmZqELgoRFkN,Raim Laode,2N8JUijzZsT2IJnplY4vAE,Komang,2022-08-17,https://api.spotify.com/v1/tracks/2AaaE0qvFWtyT8srKNfRhH,0.696,0.412,7,-8.547,1,0.027,0.415,6.16e-05,0.1,0.349,133.913,audio_features,spotify:track:2AaaE0qvFWtyT8srKNfRhH,https://api.spotify.com/v1/tracks/2AaaE0qvFWtyT8srKNfRhH,https://api.spotify.com/v1/audio-analysis/2AaaE0qvFWtyT8srKNfRhH,222707,4
1,6dXiWwFrcGieqnoLYzPNp5,Sial,3wOsYKZM0zcKNasi3I7fP4,Mahalini,6iBh7T1cUR8MPrtly5xugU,fábula,2023-01-23,https://api.spotify.com/v1/tracks/6dXiWwFrcGieqnoLYzPNp5,0.563,0.431,2,-6.784,1,0.039,0.89,2.9e-06,0.123,0.196,120.014,audio_features,spotify:track:6dXiWwFrcGieqnoLYzPNp5,https://api.spotify.com/v1/tracks/6dXiWwFrcGieqnoLYzPNp5,https://api.spotify.com/v1/audio-analysis/6dXiWwFrcGieqnoLYzPNp5,243725,4
2,1ixNEKbIZTTZ5LIz3rr9jD,Cintamu Sepahit Topi Miring,0Pk4JEXgC64RBmovnQDZ27,Jogja Hip Hop Foundation,7nC7NZkREbTAIWuknYkWlP,Semar Mesem Romo Mendem,2013-10-06,https://api.spotify.com/v1/tracks/1ixNEKbIZTTZ5LIz3rr9jD,0.741,0.801,11,-4.84,1,0.275,0.147,2.73e-05,0.0821,0.561,193.911,audio_features,spotify:track:1ixNEKbIZTTZ5LIz3rr9jD,https://api.spotify.com/v1/tracks/1ixNEKbIZTTZ5LIz3rr9jD,https://api.spotify.com/v1/audio-analysis/1ixNEKbIZTTZ5LIz3rr9jD,294053,4
3,3N2WeXxSjngB1DSi8vrI8C,Muak,7G0kstl7VjhDSgFYOBaUS1,Aruma,4Zt66ubcxeKkfB3MvTYvCq,Muak,2022-09-30,https://api.spotify.com/v1/tracks/3N2WeXxSjngB1DSi8vrI8C,0.265,0.32,2,-10.791,1,0.0316,0.774,0.000146,0.312,0.185,82.973,audio_features,spotify:track:3N2WeXxSjngB1DSi8vrI8C,https://api.spotify.com/v1/tracks/3N2WeXxSjngB1DSi8vrI8C,https://api.spotify.com/v1/audio-analysis/3N2WeXxSjngB1DSi8vrI8C,264940,4
4,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,7tYKF4w9nC0nq9CsPZTHyP,SZA,1nrVofqDRs7cpWXJ49qTnP,SOS,2022-12-08,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,audio_features,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL,https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL,153947,4
5,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,2A7XpBQ8X227lVi5BphdPw,Awdella,3Je4P8ARv9FvEIcOJJXIKl,Tertawan Hati,2022-07-01,https://api.spotify.com/v1/tracks/3i0h88q1HBtbdIg2bPxs54,0.319,0.432,6,-5.831,1,0.0317,0.661,0.0,0.108,0.244,128.244,audio_features,spotify:track:3i0h88q1HBtbdIg2bPxs54,https://api.spotify.com/v1/tracks/3i0h88q1HBtbdIg2bPxs54,https://api.spotify.com/v1/audio-analysis/3i0h88q1HBtbdIg2bPxs54,237864,4
6,78Sw5GDo6AlGwTwanjXbGh,Here With Me,5y8tKLUfMvliMe8IKamR32,d4vd,0OuoHWf8yB0TPzoBWw1R1S,Here With Me,2022-09-22,https://api.spotify.com/v1/tracks/78Sw5GDo6AlGwTwanjXbGh,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,132.023,audio_features,spotify:track:78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/tracks/78Sw5GDo6AlGwTwanjXbGh,https://api.spotify.com/v1/audio-analysis/78Sw5GDo6AlGwTwanjXbGh,242485,4
7,7oDd86yk8itslrA9HRP2ki,Die For You - Remix,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,6Exo0MYoL3XammoTDeihFy,Die For You (Remix),2023-02-24,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,0.531,0.525,1,-6.5,0,0.0671,0.232,0.0,0.441,0.502,66.9,audio_features,spotify:track:7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/tracks/7oDd86yk8itslrA9HRP2ki,https://api.spotify.com/v1/audio-analysis/7oDd86yk8itslrA9HRP2ki,232857,4
8,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,11k3Y6uyixbyGfgPl8qZTZ,raissa anggiani,7vPQboGZn7eLlwwyOeCTQO,Kau Rumahku,2022-01-10,https://api.spotify.com/v1/tracks/7nQoDLkzCcoIpKPQt3eCdN,0.35,0.323,1,-8.982,1,0.0369,0.873,1.48e-06,0.103,0.278,169.513,audio_features,spotify:track:7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/tracks/7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/audio-analysis/7nQoDLkzCcoIpKPQt3eCdN,275250,3
9,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,69bG9tC62d8oTFC9aTTosn,New West,7rItmPh0tZpMKcFXBScaU8,Those Eyes,2019-05-10,https://api.spotify.com/v1/tracks/50x1Ic8CaXkYNvjmxe3WXy,0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,audio_features,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/tracks/50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/audio-analysis/50x1Ic8CaXkYNvjmxe3WXy,220750,3
10,6Hii26x3qDErVitnGW8QtO,Runtuh,66NmU5epI0ONGmdCRbLpmW,Feby Putri,5boeKAXsTkdFlm6OnkQxQW,Runtuh,2021-10-01,https://api.spotify.com/v1/tracks/6Hii26x3qDErVitnGW8QtO,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,audio_features,spotify:track:6Hii26x3qDErVitnGW8QtO,https://api.spotify.com/v1/tracks/6Hii26x3qDErVitnGW8QtO,https://api.spotify.com/v1/audio-analysis/6Hii26x3qDErVitnGW8QtO,223974,4
11,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,1JvbNeV9zG9Sew1JyaWsyx,Anggi Marito,6gO5mDyNTqiIqHItRil4OG,Tak Segampang Itu,2022-12-02,https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU,0.506,0.438,5,-7.069,1,0.0268,0.759,8.64e-06,0.109,0.178,129.538,audio_features,spotify:track:26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/audio-analysis/26cvTWJq2E1QqN4jyH2OTU,231100,4
