Column1,id,track,artist,lyrics,language,translate
0,2AaaE0qvFWtyT8srKNfRhH,Komang,Raim Laode,"Dari kejauhan, tergambar cerita tentang kita
Terpisah jarak dan waktu
Ingin kuungkapkan rindu lewat kata indah
Tak cukup untuk dirimu

Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu

Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu

Jika hari kulalui tanpa hawamu
Percuma senyumku dengan dia, oh

Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu

Apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana, tertawamu sudah cukup
Lengkapi sempurnanya hidup bersamamu

Hu-uh-uh
Hu, hu-uh-uh

Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu",id,"From a distance, a story about us
Separate distance and time
I want to express longing through beautiful words
Not enough for you

Because you're too beautiful than just a word
The world stops for a moment to enjoy your beautiful

And if not with you
I make sure I live the world not as beautiful as yesterday
Simple, your laughing is enough
Complete the perfect life with you

If the day I passed without your husband
It's useless to smile with him, oh

And if not with you
I make sure I live the world not as beautiful as yesterday
Simple, your laughing is enough
Complete the perfect life with you

If not with you
I make sure I live the world not as beautiful as yesterday
Simple, your laughing is enough
Complete the perfect life with you

Hu-uh-uh
Hu, hu-uh-uh

Because you're too beautiful than just a word
The world stops for a moment to enjoy your beautiful"
1,6dXiWwFrcGieqnoLYzPNp5,Sial,Mahalini,"Sampai saat ini tak terpikir olehku
Aku pernah beri rasa pada orang sepertimu
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

Andai ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu

Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu

Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

Andai ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu

Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu

Sial-sialnya ku bertemu dengan cinta semu (semu)
Tertipu tutur dan caramu
Seolah cintaiku (cintaiku)
Puas kaucurangi aku?

Bagaimana dengan aku terlanjur mencintaimu? (Cintaimu)
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu",id,"Until now I didn't think of me
I once gave a feeling to someone like you
If from the beginning I didn't convince myself
The perfect speech, not as good as I guess

If I knew everything would be in vain
I will not feel your love for a moment

How about I already love you?
Who came to give hope, then go and disappear
I never thought of, my heart broke out because of your
Without a few reasons, leaving without saying goodbye
I will not feel your love for a moment

If from the beginning I didn't convince myself
The perfect speech, not as good as I guess

If I knew everything would be in vain
I will not feel your love for a moment

How about I already love you?
Who came to give hope, then go and disappear
I never thought of, my heart broke out because of your
Without a few reasons, leaving without saying goodbye
I will not feel your love for a moment

Damn I met with pseudo love (pseudo)
Fooled the speech and your way
As if my love (Cintaiku)
Are you satisfied with me?

How about I already love you? (Love you)
Who came to give hope, then go and disappear
I never thought of, my heart broke out because of your
Without a few reasons, leaving without saying goodbye
I will not feel your love for a moment"
2,1ixNEKbIZTTZ5LIz3rr9jD,Cintamu Sepahit Topi Miring,Jogja Hip Hop Foundation,"Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Senja di desa Baron
Matahari tenggelam di dalam kemaron
Lembu betina lari melompat-lompat
Dikejar-kejar anaknya yang kecil meloncat

Senja lucu dengan kasih sayang ibu dan anak
Langit senja mengandung sapi beranak
Terpesona Ranto melihat, ia tertawa bergelak
Dan berubah jadi Ranto Gudel, sang pelawak

Dadi Marmoyo, di panggung ketoprak
Ranto Gudel, meminum arak
Terendam di dalam ciu
Birahinya berubah jadi biru

Diajaknya Nyai Dasima bercinta
Dengan cinta sepahit Topi Miringnya
Layar dibuka, turun hujan gembukan
Dewi Mlenuk gembuk datang

Membawa seguling roti cakwe
Marmoyo rebah terguling tidur
Di pangkuan Nyai Dasima
Yang sekeras ciu cangkol buah dadanya

Ke mana Ranto Gudel pergi
Panggung selalu harum dengan arak yang wangi
Di Sriwedari jadi petruk
Garengnya diajak mabuk
Bagongnya menggeloyor
Semar jualan ciu cangkol
Dengan terang lampu semprong
Pak Mloyo memukul kenong
Nong ji, nong ro nong ji nong

Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Giginya ompong menggerong
Ranto Gudel Mendehem nyungsep
Thuyul gundhul ke sana-sini mengempit gendul
Gendruwo thela-thelo, tampak loyo
Jrangkong jalannya miring-miring, eh dhoyong

Belum selesai menabuh nong ji, nong ro
Pak Mloyo terguling ke Bengawan Solo
Dengan irama alunan nong ji, nong ro
Pak Mloyo pulang, jalannya geloyoran

Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Ranto Gudel meminum arak bekonang
Mengantar gadis pulang, berdandan bidan
Roknya putih, bajunya putih
Serba putih, lebih daripada peri

Tiba di pinggir kali
Ranto Gudel diajak belok ke kiri
Dhemit elek a'u tenan!
Ngumpat Ranto Gudel geram

Ia marah, terendam arak bekonang
Hampir saja aku bercinta dengan setan
Cinta manusia seperti Umbul Penggung
Dulu bening, sekarang keruh
Ranto Gudel dengan empat istrinya
Tak pernah abadi cintanya

Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Memang enak jadi wedhus daripada manusia
Bila mati dikubur di gundukan tanah
Kepalanya dikencingi wedhus yang merumput
Nasib manusia, hanya sengsara,

Oh mengapa kita mesti bersusah?
Coba hiduplah seperti Ki Joko Lelur
Siangnya melamun meminum limun
Malam beranjak bangun, minum berminum

Lapen ciu cangkol arak bekonang dituang
Botol cangkol dipasangnya di setiap sudut rumah
Apa guna 'tuk takut tikus-tikus rupanya

Oh mengenang bayangan di masa tuanya
Ciu cangkol hanyalah spiritus tuk usir tikus
Padahal dulu ku meminumnya sampai mampus

Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Sengkuni leda-lede
Mimpin baris ngarep dhewe
Eh barisane menggok
Sengkuni kok malah ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro",id,"Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Dusk in Baron Village
The sun sinks in Kemaron
Lembu Female Running Jumping
Chased by a small child jumping

Funny Dusk with Mother and Children's Love
The twilight sky contains beef beef
Fascinated by Ranto to see, he laughed
And turned into Ranto Gudel, the comedian

Dadi Marmoyo, on the Ketoprak Stage
Ranto Gudel, Drinking Arak
Submerged in ciu
The lust turns blue

He invited Nyai Dasima to make love
With love for the tilted hat
The screen is opened, it rains
Dewi Mlenuk Gembuk Comes

Bring a seguling of cakwe bread
Marmoyo collapsed sleeping
On the lap of Nyai Dasima
The one as hard as the breasts of his breasts

Where is Ranto Gudel goes
The stage is always fragrant with fragrant wine
In Sriwedari became Petruk
Gareng was invited to get drunk
Bagongnya joked
Semar Selling Ciu Cangkol
With bright lights
Mr. Mloyo hit Kenong
Nong Ji, Nong Ro Nong Ji Nong

Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

His toothless teeth burst into
Ranto Gudel Mendehem Nyungsep
Thuyul gundhul to here and there narrowed
Gendruwo Thela-three, looks sluggish
Jrangkong the road is tilted, eh dhoyong

Not finished beating nong ji, nong ro
Mr. Mloyo rolled over to Bengawan Solo
With the rhythm of the strains of Nong Ji, Nong Ro
Mr. Mloyo home, the way is geloyoran

Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Ranto Gudel Drinks Arak Bekonang
Take the girl home, dress up the midwife
The skirt is white, the clothes are white
All -white, more than the fairy

Arrive
Ranto Gudel was invited to turn left
Dhemit Elek A'u Tenan!
Ranto Ranto Gudel Furious

He was angry, submerged in wine bekonang
I almost made love to the devil
Human love like a penis
Used to be clear, now murky
Ranto Gudel with his four wives
Never eternal his love

Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

It's good to be wedhus than humans
When dead buried in the mound of land
His head was tightened by the grazing wedhus
Human fate, only miserable,

Oh why do we have to bother?
Try to live like Ki Joko Lelur
In the afternoon daydreaming drinking lemonade
Night moved up, drinking drinking

Lapen Ciu Cangkol Arak Bekonang Poured
Shelled shell bottle in every corner of the house
What is the use of fear of rats apparently

Oh remembering the shadow of his old age
Ciu Cangkol is just a spiritus to get rid of mice
Even though I used to drink it until it was dead

Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro

Sengkuni Leda-Lede
Lead the Ngarep Dhewe line
Eh barisane shook
Sengkuni how come even ndheprok

Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro
Nong (ee), nong ji, nong ro"
3,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,"I′m still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one driving

I′m so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there′s other men
I don′t want none, I just want you
If I can't have you, no one should
I might

I might kill my ex, not the best idea
His new girlfriend′s next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it′s a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crimes of passion, but damn

You was out of reach
You was at the farmer′s market with your perfect peach
Now I'm in the basement, planning home invasion
Now you laying face-down, got me singing over a beat

I'm so mature, I′m so mature
I′m so mature, I got me a therapist to tell me there's other men
I don′t want none, I just want you
If I can't have you, no one will
(I might)

I might kill my ex, not the best idea
His new girlfriend′s next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love (love)
I did it all on no drugs (drugs)
I did all of this sober
I did it all for us, oh

I did it all for love (love)
I did it all of this on no drugs (drugs)
I did all of this sober
Don′t you know I did it all for us? (I'll kill your ass tonight)

Uh, I just killed my ex (my ex)
Not the best idea (idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex (my ex)
I still love him, though (I do)
Rather be in Hell than alone",en,"I′m still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one driving

I′m so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there′s other men
I don′t want none, I just want you
If I can't have you, no one should
I might

I might kill my ex, not the best idea
His new girlfriend′s next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I get the sense that it′s a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I tried to ration with you, no murders or crimes of passion, but damn

You was out of reach
You was at the farmer′s market with your perfect peach
Now I'm in the basement, planning home invasion
Now you laying face-down, got me singing over a beat

I'm so mature, I′m so mature
I′m so mature, I got me a therapist to tell me there's other men
I don′t want none, I just want you
If I can't have you, no one will
(I might)

I might kill my ex, not the best idea
His new girlfriend′s next, how'd I get here?
I might kill my ex, I still love him though
Rather be in jail than alone

I did it all for love (love)
I did it all on no drugs (drugs)
I did all of this sober
I did it all for us, oh

I did it all for love (love)
I did it all of this on no drugs (drugs)
I did all of this sober
Don′t you know I did it all for us? (I'll kill your ass tonight)

Uh, I just killed my ex (my ex)
Not the best idea (idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex (my ex)
I still love him, though (I do)
Rather be in Hell than alone"
4,3N2WeXxSjngB1DSi8vrI8C,Muak,Aruma,"Temanku bilang aku
Akan baik-baik saja
Nyatanya sulit aku
Sembuh dari yang lalu

Awal menggebu-gebu
Ujungnya semua rancu

Tahukah sakit yang tak terobati
Belum sempat sembuh tertikam lagi?
Muak
Aku muak

Katanya cinta sedalam samudra
Bohong, nyata kita berakhir juga
Muak
Aku muak

Lautan diseb′rangi (lautan diseb'rangi)
Alang-alang berduri dilewati
Kiasan penuh makna tentang cinta
Sudah tak mempan lagi

Awal menggebu-gebu
Ujungnya semua rancu

Tahukah sakit yang tak terobati (sakit)
Belum sempat sembuh tertikam lagi?
Muak
Aku muak

Katanya cinta sedalam samudra (samudra)
Bohong, nyata kita berakhir juga
Muak
Aku muak

Hu-uh-uh-uh-uh

Tahukah sakit yang tak terobati (sakit)
Belum sempat sembuh tertikam lagi?
Muak
Aku muak

Katanya cinta sedalam samudra (samudra)
Bohong, nyata kita berakhir juga
Muak
Aku muak

Bila ujungnya berakhir juga
Aku muak, oh-oh-oh
Aku muak",id,"My friend said me
Will be alright
In fact it was difficult for me
Recovered from the past

The beginning was passionate
The end is all ambiguous

Did you know unremyed pain
Haven't had a chance to recover again?
Fed up
I am sick of

He said love as deep as the ocean
Lying, real we end up too
Fed up
I am sick of

Ocean dysebali (the ocean is crushed)
Thorny reeds are passed
Figuratively meaningful about love
No longer work

The beginning was passionate
The end is all ambiguous

Did you know that unremyed pain (pain)
Haven't had a chance to recover again?
Fed up
I am sick of

He said love as deep as the ocean (ocean)
Lying, real we end up too
Fed up
I am sick of

Hu-uh-uh-uh-uh

Did you know that unremyed pain (pain)
Haven't had a chance to recover again?
Fed up
I am sick of

He said love as deep as the ocean (ocean)
Lying, real we end up too
Fed up
I am sick of

When the end ends too
I'm sick of it, oh-oh-oh
I am sick of"
5,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,"Watch the sunrise along the coast
As we′re both getting old
I can't describe what I′m feeling
And all I know is we're going home
So please don't let me go, oh
Don′t let me go, oh-oh-oh

And if it′s right
I don't care how long it takes
As long as I′m with you
I've got a smile on my face
Save your tears, it′ll be okay
All I know is you're here with me
Oh, oh, oh, oh-oh-oh-oh-oh

Watch the sunrise as we′re getting old, oh-oh
I can't describe, whoa-oh
I wish I could live through every memory again
Just one more time before we float off in the wind

And all the time we spent
Waiting for the light to take us in
Have been the greatest moments of my life

I don't care how long it takes
As long as I′m with you, I′ve got a smile on my face
Save your tears, it'll be okay, ay, ay, ay, ay, ay-ay-ay-ay

Yeah, if with me
Oh, oh, oh, oh-oh-oh-oh-oh
I can′t describe, oh, oh",en,"Watch the sunrise along the coast
As we′re both getting old
I can't describe what I′m feeling
And all I know is we're going home
So please don't let me go, oh
Don′t let me go, oh-oh-oh

And if it′s right
I don't care how long it takes
As long as I′m with you
I've got a smile on my face
Save your tears, it′ll be okay
All I know is you're here with me
Oh, oh, oh, oh-oh-oh-oh-oh

Watch the sunrise as we′re getting old, oh-oh
I can't describe, whoa-oh
I wish I could live through every memory again
Just one more time before we float off in the wind

And all the time we spent
Waiting for the light to take us in
Have been the greatest moments of my life

I don't care how long it takes
As long as I′m with you, I′ve got a smile on my face
Save your tears, it'll be okay, ay, ay, ay, ay, ay-ay-ay-ay

Yeah, if with me
Oh, oh, oh, oh-oh-oh-oh-oh
I can′t describe, oh, oh"
6,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,Awdella,"Uh-uh-uh-uh

Sudah kucoba sepenuh hati
Untuk menjadi malaikat
Menepikan perasaan, runtuhkan egoku
Namun, sayapku remuk

Bila kutanya pada diriku
Mengapa aku bertahan?
Menerima keadaan yang tak baik saja
Memaksakan segalanya

Sakit, tak sanggup
Sadarkah kita terlalu hancur?
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah
Tertawan hati

Ho-oh-uh-oh

Tak mau kehilangan, tapi lelah berjuang
Bukankah rumah tempatku bersandar?
Sendiri ku tak bisa, bersama ku tersiksa
Ini kenyataannya, kita tak baik saja

Sakit, tak sanggup
Sadarkah kita terlalu hancur?
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah
Tertawan hati

(Sakit, tak sanggup) Ho-oh-oh
(Sadarkah) Ho-oh, kita terlalu hancur
Hilang, habis tak bersisa
Tapi tak mampu ku menyerah, ho-wo-wo

Tak mampu ku menyerah
Tertawan hati
He-hm-mm",id,"Uh-uh-uh-uh

I tried wholeheartedly
To be an angel
Pulled over feelings, crushing egoku
However, my wings broke out

When I ask me to me
Why do I survive?
Accept bad situation
Forcing everything

Sick, unable
Are we aware that we are too destroyed?
Disappear, finished nothing left
But I can't give up
Captivated

Ho-Oh-Ih-Oh

Don't want to lose, but tired of fighting
Isn't the house where I lean?
Myself I can't, with me tortured
This is the reality, we're not good

Sick, unable
Are we aware that we are too destroyed?
Disappear, finished nothing left
But I can't give up
Captivated

(Sick, can't) Ho-Oh-Oh
(Aware) Ho-oh, we are too destroyed
Disappear, finished nothing left
But I can't give up, Ho-Wo-wo

I can't give up
Captivated
He-HM-MM"
7,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,raissa anggiani,"Bagaikan sungai yang tak punya malu
Mengalir meskipun terancam surut
Lalu (hmm), kakimu melangkah ke rumahku
Setengah melirik, mencoba rayu

Apa yang kau inginkan
Dari senyumku, ya tuan?

Gemar sekali kau lukiskan bintang untukku
Sungguh lihai tanganmu menata kembali hati
Yang hampir mati
′Kan ku letakkan hangat di tengah dekap kita

Jangan biarkan ku pulang
Ke rumah yang bukan engkau

Bicarakan tentang seisi dunia
Perlahan mendekat, bisikkan cinta
Membuatku terlena
Ke dalam pesona sukma yang begitu indah

Apa yang kau inginkan
Dari senyumku, ya tuan?
Ohh

Gemar sekali kau lukiskan bintang untukku

Sungguh lihai tanganmu menata kembali hati
Yang hampir mati
'Kan ku letakkan hangat di tengah dekap kita
Jangan biarkan ku pulang
Ke rumah yang bukan engkau

Jika mampu ku menjelajahi langit
′Kan ku petik pelangi 'tuk warnai harimu
Jangan khawatir, masih ada aku
Jangan khawatir, masih ada aku

Gemas sekali kau lukiskan bintang untukku

Sungguh lihai tanganmu menata kembali hati
Yang hampir mati
'Kan ku letakkan hangat di tengah dekap kita

′Kan aku persilahkan kau menetap di sini",id,"Like a river that has no shame
Flowing even though it is threatened
Then (hmm), your feet stepped into my house
Half glanced, trying to seduce

What do you want
From my smile, sir?

You really like the star for me
Really shrewd your hands rearrange your heart
Which is almost dead
′ I put the warmth in the middle of our arms

Don't let me go home
To the house that is not you

Talk about the whole world
Slowly approaching, whispering love
Make me complacent
Into the charm of such a beautiful soul

What do you want
From my smile, sir?
Ohh

You really like the star for me

Really shrewd your hands rearrange your heart
Which is almost dead
I put the warmth in the middle of our arms
Don't let me go home
To the house that is not you

If I can explore the sky
′ I pick a rainbow 'to color your day
Don't worry, there's still me
Don't worry, there's still me

You're so exasperated by the stars for me

Really shrewd your hands rearrange your heart
Which is almost dead
I put the warmth in the middle of our arms

′ I invite you to stay here"
8,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,The Weeknd,"I′m findin' ways to articulate the feelin′ I'm goin' through
I just can′t say I don′t love you (yeah)
'Cause I love you, yeah
It′s hard for me to communicate the thoughts that I hold
But tonight, I'm gon′ let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin′, see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I′m scared that I′ll miss you, happens every time
I don't want this feelin′, I can't afford love
I try to find reason to pull us apart
It ain′t workin' ′cause you're perfеct
And I know that you're worth it
I can′t walk away (hey)

Even though we′rе goin' through it (ah, ah)
And it makes you feel alone
Just know that I would die for you (ooh, ooh)
Baby, I would die for you, yeah
The distance and the time between us (distance and the time)
It′ll never change my mind 'cause
Baby, I would die for you (I would die for you)
Baby, I would die for you, yeah

I′m finding ways to stay concentrated on what I gotta do
But baby boy, it's so hard ′round you
And yes, I'm blaming you
And you know I can't fake it, now or never
And you insinuating that you think we might be better
Better me and you
Yeah, I know you do, ooh-ooh-ooh

You know what I′m thinkin′, see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin′ 'cause you′re perfect (mm)
And I know that you deserve it
I can't walk away

Even though we′re goin' through it
And it makes you (me) feel alone
Just know that I would die for you (I would die for you)
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind ′cause
Baby, I would die for you (I would die for you, uh)
Baby, I would die for you, yeah (I would die for you)

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I′m just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na (ooh)

Even though we′re goin' through it (ooh)
And it makes you feel alone (no, no)
Just know that I would die for you (no)
Baby, I would die for you, yeah
The distance and the time between us (ooh)
It′ll never change my mind 'cause (na-na)
Baby, I would die for you (no)
Baby, I would die for you, yeah (oh, babe)",en,"I′m findin' ways to articulate the feelin′ I'm goin' through
I just can′t say I don′t love you (yeah)
'Cause I love you, yeah
It′s hard for me to communicate the thoughts that I hold
But tonight, I'm gon′ let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin′, see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I′m scared that I′ll miss you, happens every time
I don't want this feelin′, I can't afford love
I try to find reason to pull us apart
It ain′t workin' ′cause you're perfеct
And I know that you're worth it
I can′t walk away (hey)

Even though we′rе goin' through it (ah, ah)
And it makes you feel alone
Just know that I would die for you (ooh, ooh)
Baby, I would die for you, yeah
The distance and the time between us (distance and the time)
It′ll never change my mind 'cause
Baby, I would die for you (I would die for you)
Baby, I would die for you, yeah

I′m finding ways to stay concentrated on what I gotta do
But baby boy, it's so hard ′round you
And yes, I'm blaming you
And you know I can't fake it, now or never
And you insinuating that you think we might be better
Better me and you
Yeah, I know you do, ooh-ooh-ooh

You know what I′m thinkin′, see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin′ 'cause you′re perfect (mm)
And I know that you deserve it
I can't walk away

Even though we′re goin' through it
And it makes you (me) feel alone
Just know that I would die for you (I would die for you)
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind ′cause
Baby, I would die for you (I would die for you, uh)
Baby, I would die for you, yeah (I would die for you)

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I′m just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na (ooh)

Even though we′re goin' through it (ooh)
And it makes you feel alone (no, no)
Just know that I would die for you (no)
Baby, I would die for you, yeah
The distance and the time between us (ooh)
It′ll never change my mind 'cause (na-na)
Baby, I would die for you (no)
Baby, I would die for you, yeah (oh, babe)"
9,6Hii26x3qDErVitnGW8QtO,Runtuh,Feby Putri,"Ku terbangun lagi
Di antara sepi
Hanya pikiran yang ramai
Mengutuki diri
Tak bisa kembali
′Tuk mengubah alur kisah

Ketika mereka meminta tawa
Ternyata rela tak semudah kata

Tak perlu khawatir, ku hanya terluka
Terbiasa 'tuk pura-pura tertawa
Namun bolehkah s′kali saja ku menangis?
Sebelum kembali membohongi diri

Ketika kau lelah
Berhentilah dulu
Beri ruang, beri waktu

Mereka bilang, ""Syukurilah saja""
Padahal rela tak semudah kata

Tak perlu khawatir, ku hanya terluka
Terbiasa 'tuk pura-pura tertawa
Namun bolehkah s'kali saja ku menangis?
Sebelum kembali membohongi diri

Ha, ha, ha-ah
Ha, ha, ha-ah
Ha, ha, ha-ah-oh

Kita hanyalah manusia yang terluka
Terbiasa ′tuk pura-pura tertawa
Namun bolehkah sekali saja ku menangis?
Ku tak ingin lagi membohongi diri

Ku ingin belajar menerima diri",id,"I woke up again
Between lonely
Only a crowded mind
Cursing yourself
Can't come back
′ To change the story line

When they ask for laughter
It turns out that it's not as easy as a word

No need to worry, I'm just hurt
Used to 'to pretend to laugh
But can I just cry?
Before lying back to yourself

When you're tired
Stop first
Give space, give time

They say, ""Just thank you""
Even though it's not as easy as a word

No need to worry, I'm just hurt
Used to 'to pretend to laugh
But can I just cry?
Before lying back to yourself

Ha, ha, ha-ah
Ha, ha, ha-ah
Ha, ha, ha-ah-oh

We are only human injuries
Accustomed to ′ to pretend to laugh
But can I cry once?
I no longer want to lie to myself

I want to learn to accept myself"
