,id,track,artist,lyrics
0,2AaaE0qvFWtyT8srKNfRhH,Komang,Raim Laode,"Komang Lyrics[Lirik ""Komang""]

[Verse 1]
Dari kejauhan tergambar cerita tentang kita
Terpisah jarak dan waktu
Ingin kuungkapkan rinduku lewat kata indah
Tak cukup untuk dirimu

[Pre-Chorus]
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmu
[Chorus]
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Jika hari kulalui tanpa hawamu
Percuma senyumku dengan dia, ooh

[Interlude]

[Chorus]
Dan apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya hidup bersamamu
Apabila tak bersamamu
Kupastikan kujalani dunia tak seindah kemarin
Sederhana tertawamu sudah cukup!
Lengkapi sempurnanya (Sempurnanya)
Hidup bersamamu

[Outro]
Sebab kau terlalu indah dari sekedar kata
Dunia berhenti sejenak menikmati indahmuYou might also likeEmbed"
1,6dXiWwFrcGieqnoLYzPNp5,Sial,Mahalini,"Sial Lyrics[Lirik ""Sial""]

[Verse 1]
Sampai saat ini tak terpikir olehku
Aku pernah beri rasa pada orang sepertimu
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

[Pre-Chorus]
Andai 'ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu
[Chorus]
Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmu

[Verse 2]
Seandainya sejak awal tak kuyakinkan diriku
Tutur kata yang sempurna, tak sebaik yang kukira

[Pre-Chorus]
Andai 'ku tahu semua akan sia-sia
Takkan kut'rima cinta sesaatmu

[Chorus]
Bagaimana dengan aku terlanjur mencintaimu?
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Tak akan kut'rima cinta sesaatmu

[Bridge]
Sia-sianya 'ku bеrtemu dengan cinta semu
Tеrtipu tutur dan caramu
Seolah cintaiku (Cintaiku)
Puas kaucurangi aku?
You might also like[Chorus]
Bagaimana dengan aku terlanjur mencintaimu? (Cintaimu)
Yang datang beri harapan, lalu pergi dan menghilang
Tak terpikirkan olehmu, hatiku hancur kar'namu
Tanpa sedikit alasan, pergi tanpa berpamitan
Takkan kut'rima cinta sesaatmuEmbed"
2,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,"TranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語සිංහලBahasa IndonesiaKill Bill Lyrics[Verse 1]
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

[Pre-Chorus]
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should, I might
[Chorus]
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone

[Verse 2]
I get the sense that it's a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I try to ration with you, no murders, no crime of passion
But, damn, you was out of reach
You was at the farmer's market with your perfect peach
Now I'm in amazement, playin' on my patience
Now you layin' face-down, got me singin' over a beat

[Pre-Chorus]
I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will, I (I might)

[Chorus]
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone
You might also like[Bridge]
I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

[Chorus]
Oh, I just killed my ex, not the best idea (Idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex, I still love him, though (I do)
Rather be in hell than alone68Embed"
3,3N2WeXxSjngB1DSi8vrI8C,Muak,Aruma,"Skcryonlone LyricsVerse 1 :
History kembali dalam pangkuan nada
Sekilas berkaca, sudah tenggelamkah Rantau Adiwangsa
Saat Paranoia kaburkan semua
Hilang kendali ku dalam hidup
Tak ingin ku hirup lagi asap yang dulu buatku terpuruk

Seketika diam dalam lamunan hening
Seiring waktu berjalan dan jam pun berdenting
Seketika juga hidupku mulai terlewat
Begitu juga harapku tak lagi sempat
Hanya ruang imaji penuhi otak
Berkotak-kotak tak lagi banyak peduli
Mreka hakimi ku dengan puas, yah!
(i'm talkin' about how i care)

{ Prei 1000% }

Verse 2 :
Baru sekarang ku mulai dari awal
Sajak per sajak coba lagi ku rangkai
Seperti sedia kala
Saat senjakala hadirkan
Pesona yang berbeda
Imaji ku meluas srasa aroma Ganja

Semua berbeda hanya patung-patung
Bergerak temani mimpi
Acapkali idamkan teman sejati
Tapi ( Bullshit, Mofuck'a!!! )
Semua berubah
Sperti skenario dalam film hierarki
Sudah tertebak siapa yang tak peduli
(Fake Friends)

Mungkin memang sekarang waktu ku memulai
Struggle ku yang dulu sempat tertahan
Karna peduli ku terlalu tinggi
Empati berlebih buat tak nyaman hidup diri sendiri
You might also likeAku muak dengan segala yang ada
Maka ku menyingkir untuk kembali berubah
Daaaaan...
Mohon maaf ku hanya untuk beberapa
Sahabat yang ada saat ku terjatuh dan terluka1Embed"
4,78Sw5GDo6AlGwTwanjXbGh,Here With Me,d4vd,"TranslationsTürkçeHere With Me Lyrics[Verse 1]
Watch the sunrise along the coast
As we're both getting old
I can't describe what I'm feeling
And all I know is we're going home
So, please don't let me go
Don't let me go

[Chorus]
And if it's right, I don't care how long it takes
As long as I'm with you, I've got a smile on my face
Save your tears, it'll be okay
All I know is you're here with me
[Post-Chorus]
Ooh-ooh, oh, oh-oh
Oh-oh-oh-oh-oh

[Verse 2]
Watch the sunrise as we're getting old, oh-oh
I can't describe, oh-oh
I wish I could live through every memory again
Just one more time before we float off in the wind
And all the time we spent waiting for the light to take us in
Have been the greatest moments of my life

[Chorus]
I don't care how long it takes
As long as I'm with you, I've got a smile on my face
Save your tears, it'll be okay
You're here with me

[Post-Chorus]
Ooh-ooh, oh, oh-oh
Oh-oh-oh-oh-oh

[Outro]
I can't describe, oh-ohYou might also like2Embed"
5,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,raissa anggiani,"Kau Rumahku LyricsBagaikan sungai yang tak punya malu
Mengalir meskipun terancam surut
Lalu kakimu melangkah kerumahku
Setengah melirik mencoba rayu
Apa yang kau inginkan
Dari senyumku ya tuan
Gemar skali kau lukiskan bintang untuku
Sungguh lihai tanganmu menata kembali hati yang hampir mati
Kan ku letakan hangat ditengah duka kita
Jangan biarkan ku pulang
Kerumah yang bukan engkau
Bicarakan tentang seisi dunia
Perllahan mendekat bisikan cinta
Membuatku terlena
Kedalam pesona sukma yang begitu indah
Apa yang kau inginkan
Dari senyumku ya tuan
Gemar skali kau lukiskan bintang untuku
Sungguh lihai tanganmu menata kembali hati yang hampir mati
Kan ku letakan hangat ditengah duka kita
Jangan biarkan ku pulang
Kerumah yang bukan engkau
Jika mampu menjelajahi langit
Kan ku petik pelangi tuk warnai harimu
Jangan khawatir masih ada aku
Jangan khawatir masih ada aku
Gemar skali kau lukiskan bintang untuku
Sungguh lihai tanganmu menata kеmbali hati
Kan ku letakan hangat ditengah duka kita
Kan aku persilahkan kau mеnetap disiniYou might also likeEmbed"
6,4W4fNrZYkobj539TOWsLO2,Die For You (with Ariana Grande) - Remix,The Weeknd,"This Is The Weeknd Lyrics1. The Weeknd- Starboy (feat. Daft Punk)
2. The Weeknd- The Hills
3. The Weeknd- Can't Feel My Face
4. The Weeknd- I Feel It Coming (feat. Daft Punk)
5. The Weeknd- Save Your Tears
6. The Weeknd- Earned It (Fifty Shades Of Grey) [From The ''Fifty Shades Of Grey'' Soundtrack]
7. House Of Balloons / Glass Table Girls
8. The Weeknd- Blinding Lights
9. The Weeknd- In Your Eyes
10. The Weeknd & Kendrick Lamar- Pray For Me
11. The Weeknd- Heartless
12. The Weeknd- Often
13. The Weeknd- Call Out My Name
14. The Weeknd- Die For You
15. Ariana Grande & The Weeknd- Love Me Harder
16. The Weeknd- Acquainted
17. The Weeknd- Wicked Games
18. The Weeknd- The Morning
19. The Weeknd- After Hours
20. Calvin Harris & The Weeknd- Over Now
21. Maluma & The Weeknd- Hawái (Remix)
22. The Weeknd- Nothing Compares (Bonus Track)
23. The Weeknd- Missed You (Bonus Track)
24. The Weeknd- Final Lullaby (Bonus Track)
25. The Weeknd- Try Me
26. The Weeknd- Wasted Times
27. The Weeknd & Gesaffelstein- I Was Never There
28. The Weeknd & Gesaffelstein- Hurt You
29. The Weeknd- Privilege
30. SZA, The Weeknd, Travis Scott & Game of Thrones- Power is Power
31. The Weeknd- Party Monster
32. NAV- Some Way (feat. The Weeknd)
33. Gesaffelstein- Lost in the Fire (feat. The Weeknd)
34. The Weeknd- Rockin'
35. The Weeknd- Sidewalks (feat. Kendrick Lamar)
36. Belly- Might Not (feat. The Weeknd)
37. The Weeknd- False Alarm
38. The Weeknd- In The Night
39. The Weeknd- A Lonely Night
40. The Weeknd- D.D
41. The Weeknd- Reminder (feat. A$AP Rocky & Young Thug) [Remix]
42. The Weeknd- Secrets
43. Drake- Crew Love (feat. The Weeknd)
44. The Weeknd- Nothing With You
45. The Weeknd- Dark Times (feat. Ed Sheeran)
46. The Weeknd- Tell Your Friends
47. The Weeknd- Remember
48. The Weeknd- Shameless
49. The Weeknd- True Colors
50. The Weeknd- Attention
51. The Weeknd- Six Feet Under
52. The Weeknd- Love To Lay
53. The Weeknd- High For This
54. The Weeknd- Loft Music
55. Future- Low Life (feat. The Weeknd)
56. Ty Dolla $ign- Or Nah (feat. The Weeknd, Wiz Khalifa & Mustard) [Remix]
57. The Weeknd- Live For (feat. Drake)
58. The Weeknd- Ordinary Life
59. The Weeknd- Valerie
60. The Weeknd- Pretty
61. The Weeknd- All I Know (feat. Future)
62. The Weeknd- Professional
63. The Weeknd- Love In The Sky
64. The Weeknd- Stargirl Interlude (feat. Lana Del Ray)
65. The Weeknd- What You NeedYou might also likeEmbed"
7,6Hii26x3qDErVitnGW8QtO,Runtuh,Feby Putri,"Runtuh Lyrics[Lirik ""Runtuh""]

[Verse 1: Feby Putri]
Ku terbangun lagi di antara sepi
Hanya pikiran yang ramai
Mengutuki diri tak bisa kembali
Tuk mengubah alur kisah

[Pre-Chorus: Fiersa Besari]
Ketika mereka meminta tawa
Ternyata rela tak semudah kata
[Chorus: Feby Putri & Fiersa Besari]
Tak perlu khawatir, ku hanya terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Sebelum kembali membohongi diri

[Verse 2: Fiersa Besari]
Ketika kau lelah, berhentilah dulu
Beri ruang, beri waktu

[Pre-Chorus: Feby Putri]
Mereka bilang, syukurilah saja
Padahal rela tak semudah kata

[Chorus: Feby Putri & Fiersa Besari]
Tak perlu khawatir, ku hanya terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Sebelum kembali membohongi diri

[Bridge: Feby Putri & Fiersa Besari]
Ha-ha-ha-ha
Ha-ha-ha-ha
Ha-ha-ha-ha, oh

[Chorus: Feby Putri & Fiersa Besari]
Kita hanyalah manusia yang terluka
Terbiasa tuk pura-pura tertawa
Namun, bolehkah sekali saja ku menangis?
Ku tak ingin lagi membohongi diri
You might also like[Outro: Feby Putri]
Ku ingin belajar menerima diriEmbed"
8,50x1Ic8CaXkYNvjmxe3WXy,Those Eyes,New West,"Those Eyes Lyrics[Verse 1]
When we’re out in a crowd laughing loud and nobody knows why
When we’re lost at a club getting drunk and you give me that smile
Going home in the back of a car and your hand touches mine
When we’re done making love and you look up and give me those eyes

[Chorus]
'Cause all of the small things that you do
Are what remind me why I fell for you
And when we’re apart and I’m missing you
I close my eyes and all I see is you
And the small things you do
[Instrumental Break]

[Verse 2]
When you call me at night while you’re out getting high with your friends (Out with your friends)
Every ""hi"", every ""bye"", every ""I love you"" you’ve ever said (You've ever said)

[Chorus]
'Cause all of the small things that you do
Are what remind me why I fell for you
And when we’re apart and I’m missing you
I close my eyes and all I see is you
And the small things you do

[Instrumental Break]

[Bridge]
When we’re done making love and you look up and give me those eyes

[Chorus]
'Cause all of the small things that you do
Are what remind me why I fell for you
And when we’re apart and I’m missing you
I close my eyes and all I see is you
And the small things you do

[Outro]
All the small things you doYou might also like4Embed"
9,2bdVgAQgosGUJoViVDNeOV,LIMBO,keshi,"LIMBO Lyrics[Intro]
Ooh
Ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh, ooh
Ooh-ooh, ooh
Ooh-ooh-ooh-ooh, ooh
Ooh-ooh, ooh

[Verse 1]
I just been goin' through motions, back and forth like a ocean
I am a fraud, I am the shit, hoping that nobody notice
Bang chest in the morning, head down in the night
Drink less if I wanted, strike up with the light
And square up, I’m the mightest
Myself in the fight, hurt twice but I tried it
No advice for this shit, might die for this shit
Do I feel alive, feel alive, feel alive?
[Chorus]
Feel more like limbo, hands out my window
Chasin' that sunset, that's more my tempo
Yeah, that’s more my tempo
Ooh, but this is all that I am
I only show you the best of me
The best of me

[Verse 2]
Looked in my demons and saw myself
Put all my meanin' in someone else
Outta sight, outta mind, don't know where to find it
Don't know where to hide, but I still
Eat good, drink good, feel good, s'all good
Can't hear my head when I'm sat beside ya
Fucked lungs and a liver, good looks in the mirror
Do I feel alive, feel alive, feel alive?

[Chorus]
Feel more like limbo, hands out my window
Chasin' that sunset, that’s more my tempo
That’s more my tempo
(keshi) Ooh, but this is all that I am
I only show you the best of me
The best of me
Ooh, tryin' but I’m just a man
Hopin' it won't get the best of me
The best of meYou might also like8Embed"
