numCharts,id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,genre,image,song_url,artist_url
1,26cvTWJq2E1QqN4jyH2OTU,Tak Segampang Itu,1JvbNeV9zG9Sew1JyaWsyx,Anggi Marito,6gO5mDyNTqiIqHItRil4OG,Tak Segampang Itu,2022-12-02,https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU,0.506,0.438,5,-7.069,1,0.0268,0.759,8.64e-6,0.109,0.178,129.538,audio_features,spotify:track:26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/tracks/26cvTWJq2E1QqN4jyH2OTU,https://api.spotify.com/v1/audio-analysis/26cvTWJq2E1QqN4jyH2OTU,231100,4,pop,https://i.scdn.co/image/ab6761610000e5eb604493f4d58b7d152a2d5f79,https://open.spotify.com/track/26cvTWJq2E1QqN4jyH2OTU,https://open.spotify.com/artist/1JvbNeV9zG9Sew1JyaWsyx
2,2AaaE0qvFWtyT8srKNfRhH,Komang,5LcNPa8f8bRmZqELgoRFkN,Raim Laode,2N8JUijzZsT2IJnplY4vAE,Komang,2022-08-17,https://api.spotify.com/v1/tracks/2AaaE0qvFWtyT8srKNfRhH,0.696,0.412,7,-8.547,1,0.027,0.415,6.16e-5,0.1,0.349,133.913,audio_features,spotify:track:2AaaE0qvFWtyT8srKNfRhH,https://api.spotify.com/v1/tracks/2AaaE0qvFWtyT8srKNfRhH,https://api.spotify.com/v1/audio-analysis/2AaaE0qvFWtyT8srKNfRhH,222707,4,other,https://i.scdn.co/image/ab6761610000e5eb8f5fe38a2d25be089bf281e4,https://open.spotify.com/track/2AaaE0qvFWtyT8srKNfRhH,https://open.spotify.com/artist/5LcNPa8f8bRmZqELgoRFkN
3,6dXiWwFrcGieqnoLYzPNp5,Sial,3wOsYKZM0zcKNasi3I7fP4,Mahalini,6iBh7T1cUR8MPrtly5xugU,fábula,2023-01-23,https://api.spotify.com/v1/tracks/6dXiWwFrcGieqnoLYzPNp5,0.563,0.431,2,-6.784,1,0.039,0.89,2.9e-6,0.123,0.196,120.014,audio_features,spotify:track:6dXiWwFrcGieqnoLYzPNp5,https://api.spotify.com/v1/tracks/6dXiWwFrcGieqnoLYzPNp5,https://api.spotify.com/v1/audio-analysis/6dXiWwFrcGieqnoLYzPNp5,243725,4,pop,https://i.scdn.co/image/ab6761610000e5ebb8333468abeb2e461d1ab5ea,https://open.spotify.com/track/6dXiWwFrcGieqnoLYzPNp5,https://open.spotify.com/artist/3wOsYKZM0zcKNasi3I7fP4
4,1daDRI9ahBonbWD8YcxOIB,Angels Like You,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,5BRhg6NSEZOj0BR6Iz56fR,Plastic Hearts,2020-11-27,https://api.spotify.com/v1/tracks/1daDRI9ahBonbWD8YcxOIB,0.672,0.642,5,-4.035,1,0.0313,0.0981,0,0.1,0.494,121.981,audio_features,spotify:track:1daDRI9ahBonbWD8YcxOIB,https://api.spotify.com/v1/tracks/1daDRI9ahBonbWD8YcxOIB,https://api.spotify.com/v1/audio-analysis/1daDRI9ahBonbWD8YcxOIB,196453,4,pop,https://i.scdn.co/image/ab6761610000e5eb7e8110a92ec2252f0821f8b8,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6
5,5BKJAuVMDyrFvUTo4dIaiK,Not You,7vk5e3vY1uw9plTHJAMwjN,Alan Walker,3KrkQ77DF9OUB0aOzKFYOF,World Of Walker,2021-11-26,https://api.spotify.com/v1/tracks/5BKJAuVMDyrFvUTo4dIaiK,0.573,0.264,5,-8.955,1,0.0365,0.827,1.71e-5,0.103,0.379,129.791,audio_features,spotify:track:5BKJAuVMDyrFvUTo4dIaiK,https://api.spotify.com/v1/tracks/5BKJAuVMDyrFvUTo4dIaiK,https://api.spotify.com/v1/audio-analysis/5BKJAuVMDyrFvUTo4dIaiK,153719,4,other,https://i.scdn.co/image/ab6761610000e5ebbf753c009fd9c2d53351dd3c,https://open.spotify.com/track/5BKJAuVMDyrFvUTo4dIaiK,https://open.spotify.com/artist/7vk5e3vY1uw9plTHJAMwjN
6,7FbrGaHYVDmfr7KoLIZnQ7,Cupid - Twin Ver.,4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,5letLUZIFsQikJYShfGNs4,The Beginning: Cupid,2023-02-24,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-6,0.347,0.726,120.018,audio_features,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4,pop,https://i.scdn.co/image/ab6761610000e5eb1193a00caa638c135ffc60ec,https://open.spotify.com/track/7FbrGaHYVDmfr7KoLIZnQ7,https://open.spotify.com/artist/4GJ6xDCF5jaUqD6avOuQT6
7,3e1rs346dsDDwpqTRGlRZR,Somebody's Pleasure,6ygKuZFz2sRggPZRaLHVHD,Aziz Hedra,5S5vnFRSXVua5SbdoY9S8y,Somebody's Pleasure,2023-01-27,https://api.spotify.com/v1/tracks/3e1rs346dsDDwpqTRGlRZR,0.633,0.491,10,-6.847,1,0.0336,0.842,3.84e-6,0.172,0.234,116.974,audio_features,spotify:track:3e1rs346dsDDwpqTRGlRZR,https://api.spotify.com/v1/tracks/3e1rs346dsDDwpqTRGlRZR,https://api.spotify.com/v1/audio-analysis/3e1rs346dsDDwpqTRGlRZR,223957,4,other,https://i.scdn.co/image/ab6761610000e5ebc7a6184fb425283cba932db9,https://open.spotify.com/track/3e1rs346dsDDwpqTRGlRZR,https://open.spotify.com/artist/6ygKuZFz2sRggPZRaLHVHD
8,3i0h88q1HBtbdIg2bPxs54,Tertawan Hati,2A7XpBQ8X227lVi5BphdPw,Awdella,3Je4P8ARv9FvEIcOJJXIKl,Tertawan Hati,2022-07-01,https://api.spotify.com/v1/tracks/3i0h88q1HBtbdIg2bPxs54,0.319,0.432,6,-5.831,1,0.0317,0.661,0,0.108,0.244,128.244,audio_features,spotify:track:3i0h88q1HBtbdIg2bPxs54,https://api.spotify.com/v1/tracks/3i0h88q1HBtbdIg2bPxs54,https://api.spotify.com/v1/audio-analysis/3i0h88q1HBtbdIg2bPxs54,237864,4,pop,https://i.scdn.co/image/ab6761610000e5ebf860c4a0a2665c0e008bd7d9,https://open.spotify.com/track/3i0h88q1HBtbdIg2bPxs54,https://open.spotify.com/artist/2A7XpBQ8X227lVi5BphdPw
9,7nQoDLkzCcoIpKPQt3eCdN,Kau Rumahku,11k3Y6uyixbyGfgPl8qZTZ,raissa anggiani,7vPQboGZn7eLlwwyOeCTQO,Kau Rumahku,2022-01-10,https://api.spotify.com/v1/tracks/7nQoDLkzCcoIpKPQt3eCdN,0.35,0.323,1,-8.982,1,0.0369,0.873,1.48e-6,0.103,0.278,169.513,audio_features,spotify:track:7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/tracks/7nQoDLkzCcoIpKPQt3eCdN,https://api.spotify.com/v1/audio-analysis/7nQoDLkzCcoIpKPQt3eCdN,275250,3,pop,https://i.scdn.co/image/ab6761610000e5eb3caa88907c6be25fb118e510,https://open.spotify.com/track/7nQoDLkzCcoIpKPQt3eCdN,https://open.spotify.com/artist/11k3Y6uyixbyGfgPl8qZTZ
10,3nHxZEe1dT7zs73DG6pNll,Usai,0kPb52ySN2k9P6wEZPTUzm,Tiara Andini,1lN55vIsNORo3W6QlWbGR8,Usai,2022-11-25,https://api.spotify.com/v1/tracks/3nHxZEe1dT7zs73DG6pNll,0.461,0.36,7,-8.99,1,0.0269,0.863,2.51e-5,0.0914,0.131,109.236,audio_features,spotify:track:3nHxZEe1dT7zs73DG6pNll,https://api.spotify.com/v1/tracks/3nHxZEe1dT7zs73DG6pNll,https://api.spotify.com/v1/audio-analysis/3nHxZEe1dT7zs73DG6pNll,217200,4,pop,https://i.scdn.co/image/ab6761610000e5eb28747c69a86181ed0f08fd69,https://open.spotify.com/track/3nHxZEe1dT7zs73DG6pNll,https://open.spotify.com/artist/0kPb52ySN2k9P6wEZPTUzm
