,words,en,id,ko
0,abadi,0,1,0
1,abc,0,0,1
2,across,2,0,0
3,actually,1,0,0
4,ada,0,26,0
5,adakah,0,1,0
6,addison,3,0,0
7,advice,1,0,0
8,afar,3,0,0
9,afford,1,0,0
10,afraid,3,0,0
11,agar,0,2,0
12,agree,1,0,0
13,ah,15,0,0
14,ahahohoh,0,1,0
15,aint,10,0,0
16,air,0,8,0
17,akal,0,2,0
18,akan,0,33,0
19,akankah,0,2,0
20,akhir,0,1,0
21,aku,0,117,0
22,akulah,0,1,0
23,alangalang,0,1,0
24,alasan,0,3,0
25,alasanku,0,2,0
26,alive,6,0,0
27,alone,9,0,0
28,along,2,0,0
29,alright,1,0,0
30,alunan,0,1,0
31,alur,0,1,0
32,always,21,0,0
33,amarahku,0,2,0
34,ambil,0,1,0
35,anak,0,1,0
36,anakmu,0,2,0
37,anaknya,0,1,0
38,andai,0,6,0
39,angan,0,2,0
40,angel,4,0,0
41,anggap,0,3,0
42,another,1,0,0
43,antara,0,1,0
44,anugrah,0,1,0
45,anymore,6,0,0
46,apa,0,7,0
47,apabila,0,3,0
48,apalagi,0,1,0
49,apart,5,0,0
50,apologize,1,0,0
51,arah,0,2,0
52,arahku,0,3,0
53,arahmu,0,1,0
54,arak,0,5,0
55,aringing,3,0,0
56,around,1,0,0
57,arrow,1,0,0
58,articulate,1,0,0
59,as,1,0,0
60,asam,0,1,0
61,asmara,0,6,0
62,atas,0,1,0
63,ataukah,0,3,0
64,au,0,1,0
65,awake,1,0,0
66,awal,0,5,0
67,awan,0,2,0
68,away,8,0,0
69,ay,4,0,0
70,ayayayay,1,0,0
71,babe,3,0,0
72,baby,24,0,0
73,back,3,0,0
74,bag,4,0,0
75,bagaikan,0,1,0
76,bagaimana,0,5,0
77,bagongnya,0,1,0
78,bahagia,0,13,0
79,bahagiamu,0,2,0
80,bahkan,0,2,0
81,bahtera,0,2,0
82,bahwa,0,5,0
83,baik,0,6,0
84,baikbaik,0,1,0
