words,id
abadi,1
ada,26
adakah,1
adalah,16
agar,2
ahahohoh,1
air,8
akal,2
akan,33
akankah,2
akhir,1
aku,117
akulah,1
alangalang,1
alasan,3
alasanku,2
alunan,1
alur,1
amarahku,2
ambil,1
anak,1
anakmu,2
anaknya,1
andai,6
angan,2
anggap,3
antara,1
anugrah,1
apa,7
apabila,3
apalagi,1
arah,2
arahku,3
arahmu,1
arak,5
asam,1
asmara,6
atas,1
ataukah,3
au,1
awal,5
awan,2
bagaikan,1
bagaimana,5
bagongnya,1
bahagia,13
bahagiamu,2
bahkan,2
bahtera,2
bahwa,5
baik,6
baikbaik,1
baikmu,1
bajingan,1
bajumu,1
bajunya,1
bak,1
balon,1
bangun,2
banyak,6
bari,6
barisane,6
baron,1
baru,5
bawa,2
bayangan,1
bayanganku,3
bayangmu,3
begitu,21
bekonang,3
belaian,1
belajar,2
belakang,6
belanga,1
belok,1
belum,9
bengawan,1
bening,1
bentakan,3
berada,2
berakhir,6
beranak,1
beranjak,1
berapa,1
berat,2
berbeda,1
bercinta,2
berdamai,1
berdandan,1
berdansa,2
berdetak,1
berdiri,1
berdua,7
berduri,1
berenang,1
berganti,1
bergelak,1
berharap,5
berharga,2
berhenti,2
berhentilah,1
beri,13
berjalan,1
berjanjilah,1
berjuang,2
berkata,1
berkuasa,1
berlalu,1
berlari,4
berlomba,1
berminum,1
berpamitan,3
berpisah,6
bersama,14
bersamamu,15
bersamanya,2
bersandar,1
bersisa,3
bersusah,1
bertahan,6
bertanya,1
bertaruh,1
bertaut,5
bertemu,7
berubah,4
beruntung,1
besar,4
betapa,3
betina,1
biar,1
biarkan,2
biarkanku,1
biarlah,2
bias,1
biasa,3
bibir,2
bicarakan,1
bidan,1
bila,23
bilang,3
bilas,3
binar,2
bintang,6
birahinya,1
biru,2
bisa,18
bisikkan,2
bodohnya,1
bohong,3
bohongi,4
bolehkah,3
botol,1
buah,1
buatku,5
bukan,15
bukankah,1
bun,3
butuhkanku,1
cahaya,2
cakwe,1
canda,3
