id,track,artist_id,artist,album_id,album,release_date,link,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,asal_playlist
6fhApGZALHXQ5AMrUeQgI3,Dernière danse,0FEJqmeLRzsXj8hgcZaAyB,Indila,2RLpQx8GmfK2eJgTueg2Jy,Mini World,2014-01-01,https://api.spotify.com/v1/tracks/6fhApGZALHXQ5AMrUeQgI3,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,audio_features,spotify:track:6fhApGZALHXQ5AMrUeQgI3,https://api.spotify.com/v1/tracks/6fhApGZALHXQ5AMrUeQgI3,https://api.spotify.com/v1/audio-analysis/6fhApGZALHXQ5AMrUeQgI3,213493,4,prancis
6oTNIPfJtH4JFTXfuP3cfO,Tourner Dans Le Vide,0FEJqmeLRzsXj8hgcZaAyB,Indila,2RLpQx8GmfK2eJgTueg2Jy,Mini World,2014-01-01,https://api.spotify.com/v1/tracks/6oTNIPfJtH4JFTXfuP3cfO,0.594,0.698,6,-8.645,0,0.0428,0.103,0.0,0.173,0.376,119.991,audio_features,spotify:track:6oTNIPfJtH4JFTXfuP3cfO,https://api.spotify.com/v1/tracks/6oTNIPfJtH4JFTXfuP3cfO,https://api.spotify.com/v1/audio-analysis/6oTNIPfJtH4JFTXfuP3cfO,246093,4,prancis
2xirZKFWVrWiStflf4yYzd,S.O.S,0FEJqmeLRzsXj8hgcZaAyB,Indila,2RLpQx8GmfK2eJgTueg2Jy,Mini World,2014-01-01,https://api.spotify.com/v1/tracks/2xirZKFWVrWiStflf4yYzd,0.531,0.587,6,-6.995,1,0.0328,0.271,0.0,0.228,0.208,93.023,audio_features,spotify:track:2xirZKFWVrWiStflf4yYzd,https://api.spotify.com/v1/tracks/2xirZKFWVrWiStflf4yYzd,https://api.spotify.com/v1/audio-analysis/2xirZKFWVrWiStflf4yYzd,272760,4,prancis
6qlpXtA29VcxCNgLWR5IWx,Pour que tu m'aimes encore,4S9EykWXhStSc15wEx8QFK,Céline Dion,0DdTKXdgMLcSqccdyj6D9p,D'Eux,1995-03-27,https://api.spotify.com/v1/tracks/6qlpXtA29VcxCNgLWR5IWx,0.537,0.602,2,-8.937,1,0.07,0.326,0.000115,0.0548,0.509,180.077,audio_features,spotify:track:6qlpXtA29VcxCNgLWR5IWx,https://api.spotify.com/v1/tracks/6qlpXtA29VcxCNgLWR5IWx,https://api.spotify.com/v1/audio-analysis/6qlpXtA29VcxCNgLWR5IWx,254093,4,prancis
3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien",1WPcVNert9hn7mHsPKDn7j,Édith Piaf,2k3nz0I7mJzegtkooii4za,Eternelle,1987-10-31,https://api.spotify.com/v1/tracks/3dkIE8P7hvl3tHl9KSb6dA,0.382,0.354,7,-6.595,1,0.0289,0.858,3.11e-06,0.168,0.435,87.018,audio_features,spotify:track:3dkIE8P7hvl3tHl9KSb6dA,https://api.spotify.com/v1/tracks/3dkIE8P7hvl3tHl9KSb6dA,https://api.spotify.com/v1/audio-analysis/3dkIE8P7hvl3tHl9KSb6dA,142280,4,prancis
4FmiciU3ZmfgABlbCSXcWw,La vie en rose,1WPcVNert9hn7mHsPKDn7j,Édith Piaf,7l3ydaHRFTcEGM0D9rlfqS,de l'accordeoniste a milord,1986,https://api.spotify.com/v1/tracks/4FmiciU3ZmfgABlbCSXcWw,0.39,0.302,8,-8.687,1,0.0321,0.984,0.0,0.0871,0.422,82.52,audio_features,spotify:track:4FmiciU3ZmfgABlbCSXcWw,https://api.spotify.com/v1/tracks/4FmiciU3ZmfgABlbCSXcWw,https://api.spotify.com/v1/audio-analysis/4FmiciU3ZmfgABlbCSXcWw,186973,4,prancis
2xZfPZxInlDXDKc6NDts8Z,La foule,1WPcVNert9hn7mHsPKDn7j,Édith Piaf,7l3ydaHRFTcEGM0D9rlfqS,de l'accordeoniste a milord,1986,https://api.spotify.com/v1/tracks/2xZfPZxInlDXDKc6NDts8Z,0.478,0.389,4,-8.54,0,0.0546,0.779,6.66e-06,0.193,0.61,89.765,audio_features,spotify:track:2xZfPZxInlDXDKc6NDts8Z,https://api.spotify.com/v1/tracks/2xZfPZxInlDXDKc6NDts8Z,https://api.spotify.com/v1/audio-analysis/2xZfPZxInlDXDKc6NDts8Z,178840,3,prancis
194uD6fRM58ztn7Z1Mfyr2,Padam padam,1WPcVNert9hn7mHsPKDn7j,Édith Piaf,2k3nz0I7mJzegtkooii4za,Eternelle,1987-10-31,https://api.spotify.com/v1/tracks/194uD6fRM58ztn7Z1Mfyr2,0.385,0.283,5,-8.013,0,0.0546,0.78,0.0,0.0726,0.557,179.547,audio_features,spotify:track:194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/tracks/194uD6fRM58ztn7Z1Mfyr2,https://api.spotify.com/v1/audio-analysis/194uD6fRM58ztn7Z1Mfyr2,197627,3,prancis
18efeGygYyi4nx3haDMdAa,Milord,1WPcVNert9hn7mHsPKDn7j,Édith Piaf,7l3ydaHRFTcEGM0D9rlfqS,de l'accordeoniste a milord,1986,https://api.spotify.com/v1/tracks/18efeGygYyi4nx3haDMdAa,0.492,0.466,7,-6.766,1,0.0381,0.821,0.0,0.164,0.627,105.319,audio_features,spotify:track:18efeGygYyi4nx3haDMdAa,https://api.spotify.com/v1/tracks/18efeGygYyi4nx3haDMdAa,https://api.spotify.com/v1/audio-analysis/18efeGygYyi4nx3haDMdAa,272987,4,prancis
7IjGyXU0HkrpSfQGMQs8tB,Hymne à l'amour - Remasterisé en 2015,1WPcVNert9hn7mHsPKDn7j,Édith Piaf,4lPF1olqrWLjGtuYjVUZwz,100ème anniversaire - Best of 40 titres,2015-10-30,https://api.spotify.com/v1/tracks/7IjGyXU0HkrpSfQGMQs8tB,0.35,0.226,3,-9.682,1,0.0376,0.868,1.6e-06,0.254,0.178,116.871,audio_features,spotify:track:7IjGyXU0HkrpSfQGMQs8tB,https://api.spotify.com/v1/tracks/7IjGyXU0HkrpSfQGMQs8tB,https://api.spotify.com/v1/audio-analysis/7IjGyXU0HkrpSfQGMQs8tB,205760,4,prancis
3s6ltUrI93LBKU8taezsLn,Magic in the Air (feat. Ahmed Chawki),6MvRVq0CtpQQlwnIiszV8F,Magic System,7CbbTg0ujpAaeLvEvk8JqS,Africainement vôtre,2014-05-16,https://api.spotify.com/v1/tracks/3s6ltUrI93LBKU8taezsLn,0.621,0.907,2,-3.923,1,0.0474,0.091,0.0,0.067,0.884,128.056,audio_features,spotify:track:3s6ltUrI93LBKU8taezsLn,https://api.spotify.com/v1/tracks/3s6ltUrI93LBKU8taezsLn,https://api.spotify.com/v1/audio-analysis/3s6ltUrI93LBKU8taezsLn,233693,4,prancis
5iqrbO0fhuLMiy9tYGanv6,C'est La Vie,28ztjHIXceRRntmTUfnmUX,Khaled,4LzLRLP1DU8escOmv26SsP,C'est La Vie,2012-05-17,https://api.spotify.com/v1/tracks/5iqrbO0fhuLMiy9tYGanv6,0.616,0.933,0,-3.762,0,0.0513,0.0259,0.0,0.359,0.806,129.952,audio_features,spotify:track:5iqrbO0fhuLMiy9tYGanv6,https://api.spotify.com/v1/tracks/5iqrbO0fhuLMiy9tYGanv6,https://api.spotify.com/v1/audio-analysis/5iqrbO0fhuLMiy9tYGanv6,225751,4,prancis
6lD9mZ4KoROVxqRMJ3JW20,Aicha - Version Mixte,28ztjHIXceRRntmTUfnmUX,Khaled,61t6zJzD9Mj1NXYJ55cjxV,Sahra,1997-01-01,https://api.spotify.com/v1/tracks/6lD9mZ4KoROVxqRMJ3JW20,0.592,0.657,7,-8.013,0,0.167,0.22,5.96e-06,0.0912,0.486,170.169,audio_features,spotify:track:6lD9mZ4KoROVxqRMJ3JW20,https://api.spotify.com/v1/tracks/6lD9mZ4KoROVxqRMJ3JW20,https://api.spotify.com/v1/audio-analysis/6lD9mZ4KoROVxqRMJ3JW20,259600,4,prancis
5qDDe4SN4yZBrRc5h3pL88,"Lakmé / Act 1: Viens, Mallika, ... Dôme épais (Flower Duet)",1M9AXZkNPdOd1IPEsQsXnT,Léo Delibes,36M2lRyHZ92Jiv6mlIKjq3,"""The Opera Gala - Live from Baden-Baden""",2007-01-01,https://api.spotify.com/v1/tracks/5qDDe4SN4yZBrRc5h3pL88,0.24,0.142,11,-20.358,1,0.0573,0.973,2.07e-05,0.892,0.0416,80.252,audio_features,spotify:track:5qDDe4SN4yZBrRc5h3pL88,https://api.spotify.com/v1/tracks/5qDDe4SN4yZBrRc5h3pL88,https://api.spotify.com/v1/audio-analysis/5qDDe4SN4yZBrRc5h3pL88,403333,4,prancis
1uvymuDAr8WNCRQO3E4h5L,Barcarolle,4OihBPCQzR4GfbzqOY69Xm,Jacques Offenbach,79Y7idS6C4zQO3tXjr9G4f,Souvenirs,2008-01-01,https://api.spotify.com/v1/tracks/1uvymuDAr8WNCRQO3E4h5L,0.238,0.0815,2,-22.5,1,0.045,0.983,4.01e-05,0.279,0.0414,128.52,audio_features,spotify:track:1uvymuDAr8WNCRQO3E4h5L,https://api.spotify.com/v1/tracks/1uvymuDAr8WNCRQO3E4h5L,https://api.spotify.com/v1/audio-analysis/1uvymuDAr8WNCRQO3E4h5L,223467,5,prancis
28mwuJqKOjRpqo14GuKSkj,Je T’aime,7ocwZINHqO9DZJgFtc1B20,Lara Fabian,1VOw4yLcyAgwPR3dGPXRnm,Pure,1997-06-03,https://api.spotify.com/v1/tracks/28mwuJqKOjRpqo14GuKSkj,0.384,0.436,5,-7.432,0,0.0282,0.754,5.36e-06,0.131,0.153,107.312,audio_features,spotify:track:28mwuJqKOjRpqo14GuKSkj,https://api.spotify.com/v1/tracks/28mwuJqKOjRpqo14GuKSkj,https://api.spotify.com/v1/audio-analysis/28mwuJqKOjRpqo14GuKSkj,261107,1,prancis
2CoRhNIOTzeG3dsPaD9JLC,Je Suis Malade,7ocwZINHqO9DZJgFtc1B20,Lara Fabian,2wS5xSkC5uwjs70QqIcwtD,Carpe Diem,1994,https://api.spotify.com/v1/tracks/2CoRhNIOTzeG3dsPaD9JLC,0.271,0.337,11,-9.972,0,0.0351,0.774,0.0,0.191,0.22,80.786,audio_features,spotify:track:2CoRhNIOTzeG3dsPaD9JLC,https://api.spotify.com/v1/tracks/2CoRhNIOTzeG3dsPaD9JLC,https://api.spotify.com/v1/audio-analysis/2CoRhNIOTzeG3dsPaD9JLC,264240,1,prancis
43l0RVxkRenSlcrnqDlHaD,Love Story,0FEJqmeLRzsXj8hgcZaAyB,Indila,2RLpQx8GmfK2eJgTueg2Jy,Mini World,2014-01-01,https://api.spotify.com/v1/tracks/43l0RVxkRenSlcrnqDlHaD,0.375,0.255,10,-12.279,0,0.0376,0.815,0.0,0.0845,0.331,95.978,audio_features,spotify:track:43l0RVxkRenSlcrnqDlHaD,https://api.spotify.com/v1/tracks/43l0RVxkRenSlcrnqDlHaD,https://api.spotify.com/v1/audio-analysis/43l0RVxkRenSlcrnqDlHaD,316280,3,prancis
4nHrFFJVNTn9LY9urXQDVG,Run Run,0FEJqmeLRzsXj8hgcZaAyB,Indila,2RLpQx8GmfK2eJgTueg2Jy,Mini World,2014-01-01,https://api.spotify.com/v1/tracks/4nHrFFJVNTn9LY9urXQDVG,0.81,0.537,11,-5.776,0,0.0351,0.0157,0.000149,0.0751,0.516,99.984,audio_features,spotify:track:4nHrFFJVNTn9LY9urXQDVG,https://api.spotify.com/v1/tracks/4nHrFFJVNTn9LY9urXQDVG,https://api.spotify.com/v1/audio-analysis/4nHrFFJVNTn9LY9urXQDVG,225160,4,prancis
2RHSAwAN2SVNKeA27L8SUQ,Quelqu'un m'a dit,1HVwzNriKEjaeE06okqSpx,Carla Bruni,1g2nHeOnWpGgNM5XFLOeCd,Quelqu'un M'a Dit,2002-01-01,https://api.spotify.com/v1/tracks/2RHSAwAN2SVNKeA27L8SUQ,0.565,0.412,10,-10.73,1,0.0489,0.86,0.00158,0.114,0.409,133.485,audio_features,spotify:track:2RHSAwAN2SVNKeA27L8SUQ,https://api.spotify.com/v1/tracks/2RHSAwAN2SVNKeA27L8SUQ,https://api.spotify.com/v1/audio-analysis/2RHSAwAN2SVNKeA27L8SUQ,166227,3,prancis
4z70Px77quweOupQRiaG2Q,Formidable,5j4HeCoUlzhfWtjAfM1acR,Stromae,4WW3ME0M2dUoAK5hmbXsN7,racine carrée,2013-01-01,https://api.spotify.com/v1/tracks/4z70Px77quweOupQRiaG2Q,0.461,0.628,4,-9.046,0,0.169,0.1,0.0,0.198,0.528,143.055,audio_features,spotify:track:4z70Px77quweOupQRiaG2Q,https://api.spotify.com/v1/tracks/4z70Px77quweOupQRiaG2Q,https://api.spotify.com/v1/audio-analysis/4z70Px77quweOupQRiaG2Q,213933,4,prancis
09TcIuH1ZO7i4vicWKoaN2,Papaoutai,5j4HeCoUlzhfWtjAfM1acR,Stromae,4WW3ME0M2dUoAK5hmbXsN7,racine carrée,2013-01-01,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,0.733,0.818,10,-7.222,0,0.0859,0.0241,0.0,0.0636,0.253,116.019,audio_features,spotify:track:09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/tracks/09TcIuH1ZO7i4vicWKoaN2,https://api.spotify.com/v1/audio-analysis/09TcIuH1ZO7i4vicWKoaN2,232147,4,prancis
